section,object_name,detail_type,details
SA00_env_verification,environment,env,"{""pg_version"":""PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit"",""current_user"":""postgres"",""session_user"":""postgres"",""inspection_file"":""d11-additional-authority-inspection-single-result.sql"",""current_database"":""postgres"",""inspection_timestamp"":""2026-07-31 21:22:49.125216+00"",""transaction_read_only"":""on""}"
SA01_all_public_routines,public.set_subjects_updated_at(),routine_identity,"{""oid"":""26342"",""cost"":100,""rows"":0,""owner"":""postgres"",""strict"":false,""prokind"":""f"",""proname"":""set_subjects_updated_at"",""language"":""plpgsql"",""parallel"":""u"",""pronargs"":0,""leakproof"":false,""proconfig"":null,""proacl_raw"":""{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"",""volatility"":""v"",""return_type"":""trigger"",""full_arguments"":"""",""proacl_is_null"":false,""security_definer"":false,""identity_arguments"":""""}"
SA01_all_public_routines,public.set_user_profiles_updated_at(),routine_identity,"{""oid"":""26241"",""cost"":100,""rows"":0,""owner"":""postgres"",""strict"":false,""prokind"":""f"",""proname"":""set_user_profiles_updated_at"",""language"":""plpgsql"",""parallel"":""u"",""pronargs"":0,""leakproof"":false,""proconfig"":null,""proacl_raw"":""{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"",""volatility"":""v"",""return_type"":""trigger"",""full_arguments"":"""",""proacl_is_null"":false,""security_definer"":false,""identity_arguments"":""""}"
SA01_all_public_routines,public.sync_user_profiles_identity(),routine_identity,"{""oid"":""26256"",""cost"":100,""rows"":0,""owner"":""postgres"",""strict"":false,""prokind"":""f"",""proname"":""sync_user_profiles_identity"",""language"":""plpgsql"",""parallel"":""u"",""pronargs"":0,""leakproof"":false,""proconfig"":null,""proacl_raw"":""{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"",""volatility"":""v"",""return_type"":""trigger"",""full_arguments"":"""",""proacl_is_null"":false,""security_definer"":false,""identity_arguments"":""""}"
SA01_all_public_routines,public.update_updated_at(),routine_identity,"{""oid"":""17582"",""cost"":100,""rows"":0,""owner"":""postgres"",""strict"":false,""prokind"":""f"",""proname"":""update_updated_at"",""language"":""plpgsql"",""parallel"":""u"",""pronargs"":0,""leakproof"":false,""proconfig"":null,""proacl_raw"":""{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"",""volatility"":""v"",""return_type"":""trigger"",""full_arguments"":"""",""proacl_is_null"":false,""security_definer"":false,""identity_arguments"":""""}"
SA01_all_public_routines,public.validate_resource_subject_ownership(),routine_identity,"{""oid"":""26339"",""cost"":100,""rows"":0,""owner"":""postgres"",""strict"":false,""prokind"":""f"",""proname"":""validate_resource_subject_ownership"",""language"":""plpgsql"",""parallel"":""u"",""pronargs"":0,""leakproof"":false,""proconfig"":""{search_path=public}"",""proacl_raw"":""{=X/postgres,postgres=X/postgres,anon=X/postgres,authenticated=X/postgres,service_role=X/postgres}"",""volatility"":""v"",""return_type"":""trigger"",""full_arguments"":"""",""proacl_is_null"":false,""security_definer"":false,""identity_arguments"":""""}"
SA02_routine_source,public.set_subjects_updated_at(),routine_source,"{""prosrc"":""\nBEGIN\n  NEW.updated_at = now();\n  RETURN NEW;\nEND;\n"",""prokind"":""f"",""proname"":""set_subjects_updated_at"",""full_definition"":""CREATE OR REPLACE FUNCTION public.set_subjects_updated_at()\n RETURNS trigger\n LANGUAGE plpgsql\nAS $function$\nBEGIN\n  NEW.updated_at = now();\n  RETURN NEW;\nEND;\n$function$\n""}"
SA02_routine_source,public.set_user_profiles_updated_at(),routine_source,"{""prosrc"":""\nBEGIN\n  NEW.updated_at = now();\n  RETURN NEW;\nEND;\n"",""prokind"":""f"",""proname"":""set_user_profiles_updated_at"",""full_definition"":""CREATE OR REPLACE FUNCTION public.set_user_profiles_updated_at()\n RETURNS trigger\n LANGUAGE plpgsql\nAS $function$\nBEGIN\n  NEW.updated_at = now();\n  RETURN NEW;\nEND;\n$function$\n""}"
SA02_routine_source,public.sync_user_profiles_identity(),routine_source,"{""prosrc"":""\nBEGIN\n  -- If app sends user_id, force id to match it.\n  IF NEW.user_id IS NOT NULL THEN\n    NEW.id := NEW.user_id;\n  END IF;\n\n  -- If old code sends id but not user_id, copy id into user_id.\n  IF NEW.user_id IS NULL AND NEW.id IS NOT NULL THEN\n    NEW.user_id := NEW.id;\n  END IF;\n\n  RETURN NEW;\nEND;\n"",""prokind"":""f"",""proname"":""sync_user_profiles_identity"",""full_definition"":""CREATE OR REPLACE FUNCTION public.sync_user_profiles_identity()\n RETURNS trigger\n LANGUAGE plpgsql\nAS $function$\nBEGIN\n  -- If app sends user_id, force id to match it.\n  IF NEW.user_id IS NOT NULL THEN\n    NEW.id := NEW.user_id;\n  END IF;\n\n  -- If old code sends id but not user_id, copy id into user_id.\n  IF NEW.user_id IS NULL AND NEW.id IS NOT NULL THEN\n    NEW.user_id := NEW.id;\n  END IF;\n\n  RETURN NEW;\nEND;\n$function$\n""}"
SA02_routine_source,public.update_updated_at(),routine_source,"{""prosrc"":""\nbegin\n  new.updated_at = now();\n  return new;\nend;\n"",""prokind"":""f"",""proname"":""update_updated_at"",""full_definition"":""CREATE OR REPLACE FUNCTION public.update_updated_at()\n RETURNS trigger\n LANGUAGE plpgsql\nAS $function$\nbegin\n  new.updated_at = now();\n  return new;\nend;\n$function$\n""}"
SA02_routine_source,public.validate_resource_subject_ownership(),routine_source,"{""prosrc"":""\nBEGIN\n  IF NEW.subject_id IS NOT NULL\n     AND NOT EXISTS (\n       SELECT 1\n       FROM public.subjects s\n       WHERE s.id = NEW.subject_id\n         AND s.user_id = NEW.user_id\n     )\n  THEN\n    RAISE EXCEPTION 'Selected subject does not belong to the resource owner';\n  END IF;\n\n  RETURN NEW;\nEND;\n"",""prokind"":""f"",""proname"":""validate_resource_subject_ownership"",""full_definition"":""CREATE OR REPLACE FUNCTION public.validate_resource_subject_ownership()\n RETURNS trigger\n LANGUAGE plpgsql\n SET search_path TO 'public'\nAS $function$\nBEGIN\n  IF NEW.subject_id IS NOT NULL\n     AND NOT EXISTS (\n       SELECT 1\n       FROM public.subjects s\n       WHERE s.id = NEW.subject_id\n         AND s.user_id = NEW.user_id\n     )\n  THEN\n    RAISE EXCEPTION 'Selected subject does not belong to the resource owner';\n  END IF;\n\n  RETURN NEW;\nEND;\n$function$\n""}"
SA03_routine_arguments,public.set_subjects_updated_at(),routine_arguments,"{""proname"":""set_subjects_updated_at"",""pronargs"":0,""proargmodes"":null,""proargnames"":null,""proargtypes"":"""",""proallargtypes"":null,""proargdefaults"":null,""pronargdefaults"":0}"
SA03_routine_arguments,public.set_user_profiles_updated_at(),routine_arguments,"{""proname"":""set_user_profiles_updated_at"",""pronargs"":0,""proargmodes"":null,""proargnames"":null,""proargtypes"":"""",""proallargtypes"":null,""proargdefaults"":null,""pronargdefaults"":0}"
SA03_routine_arguments,public.sync_user_profiles_identity(),routine_arguments,"{""proname"":""sync_user_profiles_identity"",""pronargs"":0,""proargmodes"":null,""proargnames"":null,""proargtypes"":"""",""proallargtypes"":null,""proargdefaults"":null,""pronargdefaults"":0}"
SA03_routine_arguments,public.update_updated_at(),routine_arguments,"{""proname"":""update_updated_at"",""pronargs"":0,""proargmodes"":null,""proargnames"":null,""proargtypes"":"""",""proallargtypes"":null,""proargdefaults"":null,""pronargdefaults"":0}"
SA03_routine_arguments,public.validate_resource_subject_ownership(),routine_arguments,"{""proname"":""validate_resource_subject_ownership"",""pronargs"":0,""proargmodes"":null,""proargnames"":null,""proargtypes"":"""",""proallargtypes"":null,""proargdefaults"":null,""pronargdefaults"":0}"
SA04_routine_execute_grants,public.set_subjects_updated_at(),execute_grant,"{""grantee"":""service_role"",""grantor"":""postgres"",""proname"":""set_subjects_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_subjects_updated_at(),execute_grant,"{""grantee"":""authenticated"",""grantor"":""postgres"",""proname"":""set_subjects_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_subjects_updated_at(),execute_grant,"{""grantee"":""anon"",""grantor"":""postgres"",""proname"":""set_subjects_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_subjects_updated_at(),execute_grant,"{""grantee"":""postgres"",""grantor"":""postgres"",""proname"":""set_subjects_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_subjects_updated_at(),execute_grant,"{""grantee"":""unknown (OID=0)"",""grantor"":""postgres"",""proname"":""set_subjects_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_user_profiles_updated_at(),execute_grant,"{""grantee"":""postgres"",""grantor"":""postgres"",""proname"":""set_user_profiles_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_user_profiles_updated_at(),execute_grant,"{""grantee"":""unknown (OID=0)"",""grantor"":""postgres"",""proname"":""set_user_profiles_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_user_profiles_updated_at(),execute_grant,"{""grantee"":""anon"",""grantor"":""postgres"",""proname"":""set_user_profiles_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_user_profiles_updated_at(),execute_grant,"{""grantee"":""authenticated"",""grantor"":""postgres"",""proname"":""set_user_profiles_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.set_user_profiles_updated_at(),execute_grant,"{""grantee"":""service_role"",""grantor"":""postgres"",""proname"":""set_user_profiles_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.sync_user_profiles_identity(),execute_grant,"{""grantee"":""postgres"",""grantor"":""postgres"",""proname"":""sync_user_profiles_identity"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.sync_user_profiles_identity(),execute_grant,"{""grantee"":""unknown (OID=0)"",""grantor"":""postgres"",""proname"":""sync_user_profiles_identity"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.sync_user_profiles_identity(),execute_grant,"{""grantee"":""anon"",""grantor"":""postgres"",""proname"":""sync_user_profiles_identity"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.sync_user_profiles_identity(),execute_grant,"{""grantee"":""authenticated"",""grantor"":""postgres"",""proname"":""sync_user_profiles_identity"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.sync_user_profiles_identity(),execute_grant,"{""grantee"":""service_role"",""grantor"":""postgres"",""proname"":""sync_user_profiles_identity"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.update_updated_at(),execute_grant,"{""grantee"":""unknown (OID=0)"",""grantor"":""postgres"",""proname"":""update_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.update_updated_at(),execute_grant,"{""grantee"":""service_role"",""grantor"":""postgres"",""proname"":""update_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.update_updated_at(),execute_grant,"{""grantee"":""authenticated"",""grantor"":""postgres"",""proname"":""update_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.update_updated_at(),execute_grant,"{""grantee"":""anon"",""grantor"":""postgres"",""proname"":""update_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.update_updated_at(),execute_grant,"{""grantee"":""postgres"",""grantor"":""postgres"",""proname"":""update_updated_at"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.validate_resource_subject_ownership(),execute_grant,"{""grantee"":""unknown (OID=0)"",""grantor"":""postgres"",""proname"":""validate_resource_subject_ownership"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.validate_resource_subject_ownership(),execute_grant,"{""grantee"":""postgres"",""grantor"":""postgres"",""proname"":""validate_resource_subject_ownership"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.validate_resource_subject_ownership(),execute_grant,"{""grantee"":""anon"",""grantor"":""postgres"",""proname"":""validate_resource_subject_ownership"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.validate_resource_subject_ownership(),execute_grant,"{""grantee"":""authenticated"",""grantor"":""postgres"",""proname"":""validate_resource_subject_ownership"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA04_routine_execute_grants,public.validate_resource_subject_ownership(),execute_grant,"{""grantee"":""service_role"",""grantor"":""postgres"",""proname"":""validate_resource_subject_ownership"",""is_grantable"":false,""privilege_type"":""EXECUTE""}"
SA05_routine_dependencies,public.set_subjects_updated_at(),dependency,"{""proname"":""set_subjects_updated_at"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.set_subjects_updated_at(),dependency,"{""proname"":""set_subjects_updated_at"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA05_routine_dependencies,public.set_user_profiles_updated_at(),dependency,"{""proname"":""set_user_profiles_updated_at"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA05_routine_dependencies,public.set_user_profiles_updated_at(),dependency,"{""proname"":""set_user_profiles_updated_at"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.sync_user_profiles_identity(),dependency,"{""proname"":""sync_user_profiles_identity"",""dep_type"":""n"",""ref_objid"":""13619"",""ref_classid"":""pg_language"",""ref_objsubid"":0,""ref_object_name"":""13619""}"
SA05_routine_dependencies,public.sync_user_profiles_identity(),dependency,"{""proname"":""sync_user_profiles_identity"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
SA05_routine_dependencies,public.update_updated_at(),dependency,"{""proname"":""update_updated_at"",""dep_type"":""n"",""ref_objid"":""2200"",""ref_classid"":""pg_namespace"",""ref_objsubid"":0,""ref_object_name"":""public""}"
