section,object_name,detail_type,details
S0_env_verification,environment,env,"{""pg_version"":""PostgreSQL 17.6 on aarch64-unknown-linux-gnu, compiled by gcc (GCC) 15.2.0, 64-bit"",""current_user"":""postgres"",""session_user"":""postgres"",""current_schema"":""public"",""current_database"":""postgres"",""transaction_read_only"":""on""}"
S1_table_existence,document_analysis,table,"{""table_name"":""document_analysis"",""table_type"":""BASE TABLE"",""table_schema"":""public""}"
S1_table_existence,documents,table,"{""table_name"":""documents"",""table_type"":""BASE TABLE"",""table_schema"":""public""}"
S1_table_existence,generation_jobs,table,"{""table_name"":""generation_jobs"",""table_type"":""BASE TABLE"",""table_schema"":""public""}"
S1_table_existence,study_visuals,table,"{""table_name"":""study_visuals"",""table_type"":""BASE TABLE"",""table_schema"":""public""}"
S10_rls_status,document_analysis,rls_status,"{""rls_forced"":false,""table_name"":""document_analysis"",""rls_enabled"":true,""table_owner"":""postgres""}"
S10_rls_status,documents,rls_status,"{""rls_forced"":false,""table_name"":""documents"",""rls_enabled"":true,""table_owner"":""postgres""}"
S10_rls_status,generation_jobs,rls_status,"{""rls_forced"":false,""table_name"":""generation_jobs"",""rls_enabled"":true,""table_owner"":""postgres""}"
S10_rls_status,study_visuals,rls_status,"{""rls_forced"":false,""table_name"":""study_visuals"",""rls_enabled"":true,""table_owner"":""postgres""}"
S11_rls_policies,document_analysis.owner_all,rls_policy,"{""cmd"":""ALL"",""qual"":""(auth.uid() = user_id)"",""roles"":[""public""],""tablename"":""document_analysis"",""permissive"":""PERMISSIVE"",""policyname"":""owner_all"",""schemaname"":""public"",""with_check"":""(auth.uid() = user_id)""}"
S11_rls_policies,documents.Users can delete own documents,rls_policy,"{""cmd"":""DELETE"",""qual"":""(auth.uid() = user_id)"",""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can delete own documents"",""schemaname"":""public"",""with_check"":null}"
S11_rls_policies,documents.Users can delete their own documents,rls_policy,"{""cmd"":""DELETE"",""qual"":""(user_id = auth.uid())"",""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can delete their own documents"",""schemaname"":""public"",""with_check"":null}"
S11_rls_policies,documents.Users can insert own documents,rls_policy,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can insert own documents"",""schemaname"":""public"",""with_check"":""(auth.uid() = user_id)""}"
S11_rls_policies,documents.Users can insert their own documents,rls_policy,"{""cmd"":""INSERT"",""qual"":null,""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can insert their own documents"",""schemaname"":""public"",""with_check"":""(user_id = auth.uid())""}"
S11_rls_policies,documents.Users can view own documents,rls_policy,"{""cmd"":""SELECT"",""qual"":""(auth.uid() = user_id)"",""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can view own documents"",""schemaname"":""public"",""with_check"":null}"
S11_rls_policies,documents.Users can view their own documents,rls_policy,"{""cmd"":""SELECT"",""qual"":""(user_id = auth.uid())"",""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""Users can view their own documents"",""schemaname"":""public"",""with_check"":null}"
S11_rls_policies,documents.documents_update_own,rls_policy,"{""cmd"":""UPDATE"",""qual"":""(auth.uid() = user_id)"",""roles"":[""authenticated""],""tablename"":""documents"",""permissive"":""PERMISSIVE"",""policyname"":""documents_update_own"",""schemaname"":""public"",""with_check"":""(auth.uid() = user_id)""}"
S11_rls_policies,generation_jobs.Users see own jobs,rls_policy,"{""cmd"":""ALL"",""qual"":""(auth.uid() = user_id)"",""roles"":[""public""],""tablename"":""generation_jobs"",""permissive"":""PERMISSIVE"",""policyname"":""Users see own jobs"",""schemaname"":""public"",""with_check"":null}"
S11_rls_policies,study_visuals.study_visuals_owner_all,rls_policy,"{""cmd"":""ALL"",""qual"":""(auth.uid() = user_id)"",""roles"":[""public""],""tablename"":""study_visuals"",""permissive"":""PERMISSIVE"",""policyname"":""study_visuals_owner_all"",""schemaname"":""public"",""with_check"":""(auth.uid() = user_id)""}"
S12_table_privileges,document_analysis.anon.DELETE,table_privilege,"{""grantee"":""anon"",""table_name"":""document_analysis"",""is_grantable"":""NO"",""privilege_type"":""DELETE""}"
